DOY	tray position	chamber	sample interval	sample id	sample date	sample time	process time	CH4	CH4 retention time	CH4 area	CO2	CO2 retention time	CO2 area	N2O	N2O retention time	N2O area	CH4 cal ppm	CO2 cal ppm	N2O cal ppm
300	1			STD	04.11.2016	23:22:33	00:05:22	CH4	2.133	39.219	CO2	3.663	3800.9564	N2O	3.393	723.1031	4.183+- 0.084 ppm	401.7+-8 ppm	403+-40 ppm
	2			STD	04.11.2016	23:27:55	00:05:21	CH4	2.14	39.3738	CO2	3.66	3798.167	N2O	3.393	721.6689	4.183	401.7	403
	3			STD	04.11.2016	23:33:16	00:05:22	CH4	2.14	38.693	CO2	3.686	3790.841	N2O	3.403	721.6617			
	4			STD	04.11.2016	23:38:38	00:05:22	CH4	2.14	38.6434	CO2	3.676	3798.7983	N2O	3.403	721.7388			
	5	B1	0	B1-300-0	04.11.2016	23:44:00	00:05:21	CH4	2.146	19.7896	CO2	3.68	5809.8816	N2O	3.41	571.8044			
	6	B1	5	B1-300-5	04.11.2016	23:49:21	00:05:22	CH4	2.14	20.3922	CO2	3.67	6533.1388	N2O	3.4	589.2644			
	7	B1	10	B1-300-10	04.11.2016	23:54:43	###############	CH4	2.143	21.1437	CO2	3.676	7290.8798	N2O	3.403	609.9897			
	8	B2	0	B2-300-0	05.11.2016	00:00:05	00:05:21	CH4	2.143	19.502	CO2	3.673	5585.4023	N2O	3.403	572.3217			
	9	B2	5	B2-300-5	05.11.2016	00:05:26	00:05:21	CH4	2.146	20.429	CO2	3.693	5756.92	N2O	3.41	583.078			
	10	B2	10	B2-300-10	05.11.2016	00:10:47	00:05:22	CH4	2.146	19.7458	CO2	3.683	5613.1656	N2O	3.406	590.4564			
	11	B3	0	B3-300-0	05.11.2016	00:16:09	00:05:21	CH4	2.136	20.321	CO2	3.666	5481.443	N2O	3.396	570.2188			
	12	B3	5	B3-300-5	05.11.2016	00:21:30	00:05:22	CH4	2.143	19.895	CO2	3.67	5603.2589	N2O	3.406	575.6552			
	13	B3	10	B3-300-10	05.11.2016	00:26:52	00:05:21	CH4	2.143	20.2284	CO2	3.673	5603.402	N2O	3.403	577.515			
	14	B4	0	B4-300-0	05.11.2016	00:32:13	00:05:22	CH4	2.143	19.488	CO2	3.673	5338.9765	N2O	3.406	568.8644			
	15	B4	5	B4-300-5	05.11.2016	00:37:35	00:05:21	CH4	2.146	20.2394	CO2	3.693	5532.6854	N2O	3.41	584.6285			
	16	B4	10	B4-300-10	05.11.2016	00:42:56	00:05:22	CH4	2.143	19.9891	CO2	3.683	5648.308	N2O	3.406	583.4158			
	17	B5	0	B5-300-0	05.11.2016	00:48:18	00:05:22	CH4	2.143	19.9528	CO2	3.676	5678.463	N2O	3.406	572.0482			
	18	B5	5	B5-300-5	05.11.2016	00:53:40	00:05:21	CH4	2.143	20.2346	CO2	3.673	5722.0628	N2O	3.406	576.2513			
	19	B5	10	B5-300-10	05.11.2016	00:59:01	00:05:22	CH4	2.136	19.829	CO2	3.666	5970.686	N2O	3.396	578.6999			
	20			STD	05.11.2016	01:04:23	00:05:21	CH4	2.136	39.3696	CO2	3.666	3780.3707	N2O	3.403	717.4548			
	21			STD	05.11.2016	01:09:44	00:05:22	CH4	2.14	39.4466	CO2	3.67	3782.0296	N2O	3.406	720.9034			
	22			STD	05.11.2016	01:15:06	00:05:21	CH4	2.143	39.4031	CO2	3.686	3779.7178	N2O	3.406	724.6805			
	23			STD	05.11.2016	01:20:27	00:05:21	CH4	2.14	39.2848	CO2	3.673	3766.577	N2O	3.403	717.564			
	24	B6	0	B6-300-0	05.11.2016	01:25:48	00:05:22	CH4	2.136	21.1311	CO2	3.67	9242.1142	N2O	3.4	570.1634			
	25	B6	5	B6-300-5	05.11.2016	01:31:10	00:05:21	CH4	2.136	20.0924	CO2	3.666	8976.261	N2O	3.396	574.5459			
	26	B6	10	B6-300-10	05.11.2016	01:36:31	00:05:21	CH4	2.143	18.7186	CO2	3.673	4260.6401	N2O	3.403	585.9184			
	27	B7	0	B7-300-0	05.11.2016	01:41:52	00:05:22	CH4	2.143	20.0232	CO2	3.676	5491.4754	N2O	3.406	570.4969			
	28	B7	5	B7-300-5	05.11.2016	01:47:14	00:05:21	CH4	2.143	19.721	CO2	3.69	5539.7924	N2O	3.406	577.4694			
	29	B7	10	B7-300-10	05.11.2016	01:52:35	00:05:22	CH4	2.146	20.001	CO2	3.686	5504.2488	N2O	3.41	572.8155			
	30	B8	0	B8-300-0	05.11.2016	01:57:57	00:05:21	CH4	2.143	19.6652	CO2	3.676	5558.7016	N2O	3.403	566.5108			
	31	B8	5	B8-300-5	05.11.2016	02:03:18	00:05:22	CH4	2.143	20.3124	CO2	3.673	5714.8874	N2O	3.4	578.8652			
	32	B8	10	B8-300-10	05.11.2016	02:08:40	00:05:22	CH4	2.143	20.0214	CO2	3.673	5521.0464	N2O	3.406	569.7331			
	33	B9	0	B9-300-0	05.11.2016	02:14:02	00:05:21	CH4	2.143	19.9268	CO2	3.673	5767.7574	N2O	3.403	574.6074			
	34	B9	5	B9-300-5	05.11.2016	02:19:23	00:05:22	CH4	2.14	20.105	CO2	3.673	5695.7332	N2O	3.403	573.6318			
	35	B9	10	B9-300-10	05.11.2016	02:24:45	00:05:21	CH4	2.14	20.0302	CO2	3.683	5687.0254	N2O	3.403	570.4896			
	36	B10	0	B10-300-0	05.11.2016	02:30:06	00:05:22	CH4	2.146	19.8068	CO2	3.683	5337.9296	N2O	3.41	568.2374			
	37	B10	5	B10-300-5	05.11.2016	02:35:28	00:05:21	CH4	2.136	20.27	CO2	3.663	5422.4003	N2O	3.39	570.7678			
	38	B10	10	B10-300-10	05.11.2016	02:40:49	00:05:22	CH4	2.136	19.7587	CO2	3.666	5382.5028	N2O	3.396	573.0279			
	39			STD	05.11.2016	02:46:11	00:05:22	CH4	2.14	38.7276	CO2	3.67	3758.6318	N2O	3.4	721.6408			
	40			STD	05.11.2016	02:51:33	00:05:21	CH4	2.14	38.8244	CO2	3.67	3755.0939	N2O	3.403	715.9667			
	41			STD	05.11.2016	02:56:54	00:05:22	CH4	2.146	38.5561	CO2	3.69	3780.8918	N2O	3.406	725.4184			
	42			STD	05.11.2016	03:02:16	00:05:22	CH4	2.146	38.7814	CO2	3.683	3772.1658	N2O	3.41	722.1538			
	43	B11	0	B11-300-0	05.11.2016	03:07:38	00:05:21	CH4	2.143	19.7132	CO2	3.673	5775.0932	N2O	3.406	570.8461			
	44	B11	5	B11-300-5	05.11.2016	03:12:59	00:05:22	CH4	2.143	19.7016	CO2	3.68	6105.7354	N2O	3.406	596.6724			
	45	B11	10	B11-300-10	05.11.2016	03:18:21	00:05:22	CH4	2.143	20.4096	CO2	3.673	6504.5084	N2O	3.403	635.5396			
	46	B12	0	B12-300-0	05.11.2016	03:23:43	00:05:22	CH4	2.136	20.0748	CO2	3.67	5635.4864	N2O	3.4	571.6318			
	47	B12	5	B12-300-5	05.11.2016	03:29:05	00:05:21	CH4	2.146	20.1134	CO2	3.68	5615.335	N2O	3.41	580.766			
	48	B12	10	B12-300-10	05.11.2016	03:34:26	00:05:22	CH4	2.143	19.8135	CO2	3.673	5587.0773	N2O	3.406	586.2099			
	49	B13	0	B13-300-0	05.11.2016	03:39:48	00:05:22	CH4	2.143	20.0728	CO2	3.683	5631.468	N2O	3.4	577.4424			
	50	B13	5	B13-300-5	05.11.2016	03:45:10	00:05:21	CH4	2.136	19.9722	CO2	3.666	5572.3197	N2O	3.396	579.6318			
	51	B13	10	B13-300-10	05.11.2016	03:50:31	00:05:22	CH4	2.143	19.6571	CO2	3.673	5657.8546	N2O	3.403	576.4725			
	52	B14	0	B14-300-0	05.11.2016	03:55:53	00:05:21	CH4	2.136	19.6311	CO2	3.666	5516.8387	N2O	3.4	570.5904			
	53	B14	5	B14-300-5	05.11.2016	04:01:14	00:05:22	CH4	2.14	19.5654	CO2	3.67	5541.947	N2O	3.406	575.68			
	54	B14	10	B14-300-10	05.11.2016	04:06:36	00:05:21	CH4	2.143	19.8669	CO2	3.673	5552.5216	N2O	3.41	582.703			
	55	B15	0	B15-300-0	05.11.2016	04:11:57	00:05:22	CH4	2.136	19.8076	CO2	3.666	5867.2411	N2O	3.4	572.6546			
	56	B15	5	B15-300-5	05.11.2016	04:17:19	00:05:29	CH4	2.146	19.8426	CO2	3.696	5768.2998	N2O	3.413	572.9746			
	57	B15	10	B15-300-10	05.11.2016	04:22:48	00:05:21	CH4	2.14	19.7333	CO2	3.676	5724.2216	N2O	3.406	581.8857			
	58			STD	05.11.2016	04:28:09	00:05:21	CH4	2.136	39.223	CO2	3.67	3758.1143	N2O	3.4	721.3929			
	59			STD	05.11.2016	04:33:30	00:05:21	CH4	2.143	38.5527	CO2	3.676	3746.7268	N2O	3.406	716.938			
	60			STD	05.11.2016	04:38:51	00:05:22	CH4	2.136	39.0568	CO2	3.67	3762.6713	N2O	3.403	720.9652			
	61			STD	05.11.2016	04:44:13	00:05:21	CH4	2.133	38.9544	CO2	3.666	3767.393	N2O	3.4	719.466			
	62	O1	0	O1-300-0	05.11.2016	04:49:34	00:05:21	CH4	2.136	19.8432	CO2	3.67	4048.426	N2O	3.406	565.9493			
	63	O1	5	O1-300-5	05.11.2016	04:54:55	00:05:22	CH4	2.146	19.6947	CO2	3.683	4162.4971	N2O	3.413	570.9932			
	64	O1	10	O1-300-10	05.11.2016	05:00:17	00:05:21	CH4	2.14	19.9092	CO2	3.68	4455.7475	N2O	3.406	581.1459			
	65	O2	0	O2-300-0	05.11.2016	05:05:38	00:05:21	CH4	2.143	19.6532	CO2	3.676	4019.6154	N2O	3.413	564.4745			
	66	O2	5	O2-300-5	05.11.2016	05:10:59	00:05:22	CH4	2.143	20.1896	CO2	3.676	4009.2312	N2O	3.406	567.16			
	67	O2	10	O2-300-10	05.11.2016	05:16:21	00:05:21	CH4	2.143	20.5018	CO2	3.673	5036.2177	N2O	3.41	570.7078			
	68	O3	0	O3-300-0	05.11.2016	05:21:42	00:05:21	CH4	2.143	20.3003	CO2	3.673	3973.9638	N2O	3.403	573.5045			
	69	O3	5	O3-300-5	05.11.2016	05:27:03	00:05:22	CH4	2.14	19.6392	CO2	3.67	4058.9888	N2O	3.406	569.1784			
	70	O3	10	O3-300-10	05.11.2016	05:32:25	00:05:21	CH4	2.143	20.387	CO2	3.673	4759.7918	N2O	3.406	572.6054			
	71	O4	0	O4-300-0	05.11.2016	05:37:46	00:05:22	CH4	2.15	20.2364	CO2	3.696	4069.9402	N2O	3.413	566.9253			
	72	O4	5	O4-300-5	05.11.2016	05:43:08	00:05:21	CH4	2.14	19.9565	CO2	3.673	4144.8124	N2O	3.403	575.8568			
	73	O4	10	O4-300-10	05.11.2016	05:48:29	00:05:22	CH4	2.143	20.1897	CO2	3.673	5046.998	N2O	3.403	570.5399			
	74	O5	0	O5-300-0	05.11.2016	05:53:51	00:05:21	CH4	2.136	19.767	CO2	3.67	4058.4513	N2O	3.403	571.0504			
	75	O5	5	O5-300-5	05.11.2016	05:59:12	00:05:21	CH4	2.136	19.842	CO2	3.67	4160.9059	N2O	3.4	574.5342			
	76	O5	10	O5-300-10	05.11.2016	06:04:33	00:05:22	CH4	2.14	20.0956	CO2	3.67	4902.1632	N2O	3.406	570.8721			
	77			STD	05.11.2016	06:09:55	00:05:21	CH4	2.143	38.5411	CO2	3.673	3752.8094	N2O	3.41	719.192			
	78			STD	05.11.2016	06:15:16	00:05:22	CH4	2.143	39.1825	CO2	3.673	3755.5198	N2O	3.406	724.5414			
	79			STD	05.11.2016	06:20:38	00:05:21	CH4	2.146	39.0528	CO2	3.69	3745.5111	N2O	3.413	722.1093			
	80			STD	05.11.2016	06:25:59	00:05:22	CH4	2.143	38.6916	CO2	3.676	3727.3636	N2O	3.403	716.6278			
	81	O6	0	O6-300-0	05.11.2016	06:31:21	00:05:21	CH4	2.143	20.1173	CO2	3.673	4851.6534	N2O	3.406	569.257			
	82	O6	5	O6-300-5	05.11.2016	06:36:42	00:05:21	CH4	2.14	20.3782	CO2	3.67	5564.6991	N2O	3.406	567.2403			
	83	O6	10	O6-300-10	05.11.2016	06:42:03	00:05:22	CH4	2.136	19.7895	CO2	3.666	5351.3994	N2O	3.403	572.7411			
	84	O7	0	O7-300-0	05.11.2016	06:47:25	00:05:21	CH4	2.143	20.138	CO2	3.67	4543.5497	N2O	3.41	572.1962			
	85	O7	5	O7-300-5	05.11.2016	06:52:46	00:05:22	CH4	2.146	20.5086	CO2	3.696	4743.4576	N2O	3.423	574.2439			
	86	O7	10	O7-300-10	05.11.2016	06:58:08	00:05:22	CH4	2.146	19.9098	CO2	3.68	4026.3214	N2O	3.413	572.4926			
	87	O8	0	O8-300-0	05.11.2016	07:03:30	00:05:21	CH4	2.14	20.19	CO2	3.673	4487.9402	N2O	3.41	571.5798			
	88	O8	5	O8-300-5	05.11.2016	07:08:51	00:05:22	CH4	2.143	20.0934	CO2	3.676	4613.9506	N2O	3.413	568.5914			
	89	O8	10	O8-300-10	05.11.2016	07:14:13	00:05:22	CH4	2.143	20.3844	CO2	3.673	4838.7628	N2O	3.41	572.6218			
	90	O9	0	O9-300-0	05.11.2016	07:19:35	00:05:21	CH4	2.143	20.2635	CO2	3.676	5060.4944	N2O	3.41	572.2336			
	91	O9	5	O9-300-5	05.11.2016	07:24:56	00:05:22	CH4	2.146	20.1578	CO2	3.696	4089.9306	N2O	3.413	568.1778			
	92	O9	10	O9-300-10	05.11.2016	07:30:18	00:05:22	CH4	2.15	20.0599	CO2	3.69	4750.3397	N2O	3.416	574.821			
	93	O10	0	O10-300-0	05.11.2016	07:35:40	00:05:22	CH4	2.14	20.2175	CO2	3.666	4663.118	N2O	3.403	567.1124			
	94	O10	5	O10-300-5	05.11.2016	07:41:02	00:05:21	CH4	2.143	20.4712	CO2	3.673	5046.8981	N2O	3.403	567.6606			
